config,top_l,k,history_share,feedback_share,ratings_used,uniform_mean,cutoff_only_mean,cutoff_x_uncertainty_mean,best_cutoff_aware_mean,best_cutoff_aware_improvement_vs_uniform_%,improvement_vs_uniform_%,improvement_vs_cutoff_%,best_policy
Baseline,200,10,0.2,0.5,1000,0.6526519619696647,0.46638619944087656,0.4831053210072461,0.46638619944087656,28.539830320382272,25.97810944300802,-3.5848233902317763,cutoff-only
Baseline,200,10,0.2,0.5,2000,0.6590664339750326,0.4068263745883172,0.3900474227105491,0.3900474227105491,40.81819334083622,40.81819334083622,4.124352039551853,cutoff x uncertainty
Smaller catalog,150,10,0.2,0.5,1000,0.3255187883866224,0.13225959798552403,0.12523327609145946,0.12523327609145946,61.52809590126686,61.52809590126686,5.312523250549736,cutoff x uncertainty
Smaller catalog,150,10,0.2,0.5,2000,0.3100045760793787,0.12449706344150897,0.1269031037099655,0.12449706344150897,59.84024977436763,59.06411920917222,-1.9326080486925874,cutoff-only
Smaller box,200,8,0.2,0.5,1000,0.5140860380382076,0.22524222480307934,0.2861024410669607,0.22524222480307934,56.18588949378567,44.34736213441044,-27.01989661001134,cutoff-only
Smaller box,200,8,0.2,0.5,2000,0.46155173972247426,0.3102678757121172,0.31026787571211684,0.31026787571211684,32.77722755444984,32.77722755444984,1.2523953945504427e-13,Tie
Deeper history,200,10,0.3,0.5,1000,0.8964187806480357,0.6194289318681818,0.7272969005038149,0.6194289318681818,30.89960348439079,18.866391891294363,-17.414099194609147,cutoff-only
Deeper history,200,10,0.3,0.5,2000,0.8963656894648409,0.6068074040904043,0.6068074040904037,0.6068074040904037,32.303588677888015,32.303588677888015,1.0977681061318279e-13,Tie
