scenario,worlds,mean_prior_cutoff_gap,budget,even_mean,even_se,even_win_rate,uncertainty_mean,uncertainty_se,uncertainty_win_rate,cutoff_mean,cutoff_se,cutoff_win_rate,combined_mean,combined_se,combined_win_rate,cutoff_pct_gap_reduction,combined_pct_gap_reduction,cutoff_improvement_vs_even_mean,cutoff_improvement_vs_even_se,combined_improvement_vs_even_mean,combined_improvement_vs_even_se,best_policy_by_mean
Separated cutoff,100,0.39735095711763607,600,0.22356122195561398,0.02763948440733175,0.45,0.22916905199926896,0.02703299598239605,0.41,0.05872921405741164,0.013611857645538008,0.8,0.10784203580714555,0.016886881657966486,0.6,73.73014266800179,51.76174344379072,0.16483200789820235,0.02857584874266759,0.11571918614846842,0.027785331851171057,cutoff_only
Separated cutoff,100,0.39735095711763607,1800,0.12085886788848223,0.016794533603184923,0.51,0.09026837669746848,0.013973721794091865,0.58,0.018204633292179,0.00544118654472499,0.85,0.044473897799203306,0.008902842567226166,0.69,84.93727964672266,63.20179182859808,0.10265423459630321,0.01760305740511125,0.07638497008927891,0.017735208281235197,cutoff_only
Moderately crowded cutoff,100,0.1596520106347742,600,0.285135039482835,0.02871432506616599,0.31,0.2616633256910896,0.02748905841396339,0.31,0.0756019973282898,0.012633018963177955,0.63,0.08493980575430593,0.012597338197908517,0.66,73.4855465447483,70.21067424460848,0.20953304215454513,0.027328371584319,0.20019523372852896,0.03171536966227099,cutoff_only
Moderately crowded cutoff,100,0.1596520106347742,1800,0.11169285486514877,0.01538555066379552,0.43,0.10401813475613939,0.013738553111081112,0.5,0.02790621467666096,0.007058280784112069,0.75,0.03603239572532088,0.008145059819224695,0.74,75.01521945127713,67.73974864477748,0.08378664018848778,0.015552761262359101,0.07566045913982784,0.016912765088445143,cutoff_only
Crowded cutoff,100,0.05517821633434673,600,0.3465821255926669,0.03417968610478692,0.23,0.32295345298929506,0.029841251227011683,0.24,0.0911712755474543,0.01568431360594189,0.73,0.1325239013617602,0.017438277374453453,0.55,73.69417843128856,61.76262664003807,0.2554108500452124,0.03620316529506522,0.21405822423090648,0.03920556438592587,cutoff_only
Crowded cutoff,100,0.05517821633434673,1800,0.13551969525770052,0.018726676356114864,0.47,0.13974793407971683,0.01895615164315375,0.46,0.027267862594968474,0.0061044688546034245,0.78,0.04479886257391848,0.008266082363061802,0.69,79.87904079689919,66.94291373019236,0.10825183266273203,0.018797595488813743,0.09072083268378205,0.020690839374141085,cutoff_only
