scenario,worlds,rho,budget,even_mean,even_se,uncertainty_mean,uncertainty_se,boundary_mean,boundary_se,combined_mean,combined_se,combined_improvement_vs_boundary_mean,combined_improvement_vs_boundary_se,combined_win_rate_vs_boundary
heterogeneous boundary information,100,0.6,60,0.3975738806084888,0.03702495669246205,0.41236103472995805,0.03922615341094434,0.4893974091620571,0.053468350904702165,0.1975894492323816,0.02323651081996628,0.2918079599296754,0.053767948725648974,0.52
heterogeneous boundary information,100,0.6,180,0.28641323699618787,0.029215892175356823,0.3722426949551034,0.03700912181887449,0.4715400674003851,0.053119684868289975,0.1304071215592037,0.017466553825141153,0.3411329458411814,0.054990423060449864,0.59
heterogeneous boundary information,100,0.6,300,0.26618329933243273,0.02764600385251198,0.3027468797874929,0.02890474574158782,0.4635006877615258,0.05344664579287781,0.10478906083267824,0.01584635212240477,0.35871162692884745,0.05434418562614862,0.59
