scenario,scenario_detail,worlds,budget,even_mean,even_se,diag_cutoff_mean,diag_cutoff_se,full_spillover_mean,full_spillover_se,diag_improvement_vs_even_mean,diag_improvement_vs_even_se,full_improvement_vs_even_mean,full_improvement_vs_even_se,full_improvement_vs_diag_mean,full_improvement_vs_diag_se,full_win_rate_vs_diag
AR(1) random catalog,rho=0.7,200,400,0.2969205616772717,0.02276421419261169,0.12832560300120682,0.013349539314633521,0.13790623261574467,0.014848301365403034,0.16859495867606486,0.0236821799035609,0.159014329061527,0.025786474123994232,-0.009580629614537895,0.01866959584690347,0.36
AR(1) random catalog,rho=0.7,200,1200,0.13395238090743863,0.012983712909991842,0.06968078620542341,0.007854421697790284,0.06395301535201865,0.008617293011974662,0.0642715947020152,0.015144074300606106,0.06999936555541997,0.014671879571771134,0.005727770853404764,0.010914546204844482,0.345
Clustered boundary substitutes,block rho=0.88,200,40,0.9647769285831387,0.05159105720809636,0.9252389196852471,0.053877454803916966,0.8700474684721129,0.04797134634184682,0.039538008897892156,0.045265188902163744,0.0947294601110264,0.046490943605894994,0.055191451213134235,0.03867924069164354,0.345
Clustered boundary substitutes,block rho=0.88,200,120,0.8217492392497769,0.04525003133384524,0.7603210656302434,0.045348366629779695,0.6832590608456794,0.04039930456858155,0.06142817361953372,0.044717778769044154,0.13849017840409739,0.04306427010058185,0.07706200478456367,0.04066785670668375,0.465
Clustered boundary substitutes,block rho=0.88,200,240,0.7408628546978782,0.04024416771070533,0.6452920685423106,0.03803902501873418,0.6211264833624217,0.037383801124002886,0.09557078615556729,0.042369355002971454,0.11973637133545599,0.04037919786829477,0.024165585179888725,0.037388295822380284,0.43
